ZI,NAME,LBF,UE19B,PU19B,UE07MAR,PU07MAR,UE14MAR,PU14MAR,UE21MAR,PU21MAR,UE28MAR,PU28MAR,UE04APR,PU04APR,UE11APR,PU11APR,UE18APR,PU18APR,UE25APR,PU25APR,UE02MAY,PU02MAY,UE09MAY,PU09MAY,UE16MAY,PU16MAY
"01602","Worcester",12824,332,2.59,348,2.71,372,2.90,856,6.67,1448,11.29,1904,14.85,2242,17.48,2506,19.54,2739,21.36,2921,22.78,3068,23.92,3193,24.90
"01603","Worcester",9829,388,3.95,400,4.07,418,4.25,782,7.96,1226,12.47,1568,15.95,1822,18.54,2021,20.56,2196,22.34,2333,23.74,2443,24.86,2536,25.80
"01604","Worcester",18455,620,3.36,641,3.47,674,3.65,1340,7.26,2155,11.68,2781,15.07,3247,17.59,3611,19.57,3931,21.30,4182,22.66,4383,23.75,4555,24.68
"01605","Worcester",11757,407,3.46,422,3.59,445,3.78,920,7.83,1500,12.76,1947,16.56,2279,19.38,2538,21.59,2766,23.53,2944,25.04,3088,26.27,3211,27.31
"01606","Worcester",11380,364,3.20,376,3.30,395,3.47,774,6.80,1237,10.87,1594,14.01,1859,16.34,2066,18.15,2248,19.75,2391,21.01,2505,22.01,2603,22.87
"01607","Worcester",4306,143,3.32,149,3.46,157,3.65,324,7.52,527,12.24,684,15.88,800,18.58,891,20.69,971,22.55,1033,23.99,1084,25.17,1127,26.17
"01608","Worcester",1339,118,8.81,119,8.89,122,9.11,173,12.92,236,17.63,285,21.28,321,23.97,349,26.06,373,27.86,393,29.35,408,30.47,422,31.52
"01609","Worcester",10345,357,3.45,370,3.58,392,3.79,821,7.94,1346,13.01,1750,16.92,2050,19.82,2284,22.08,2491,24.08,2653,25.65,2782,26.89,2893,27.97
"01610","Worcester",11170,472,4.23,488,4.37,513,4.59,1009,9.03,1615,14.46,2081,18.63,2428,21.74,2698,24.15,2937,26.29,3123,27.96,3273,29.30,3401,30.45
"01611","Cherry Valley",1271,17,1.34,19,1.49,21,1.65,69,5.43,127,9.99,171,13.45,204,16.05,230,18.10,253,19.91,271,21.32,285,22.42,298,23.45
"01612","Paxton",2686,27,1.01,31,1.15,35,1.30,132,4.91,250,9.31,341,12.70,408,15.19,461,17.16,507,18.88,543,20.22,573,21.33,597,22.23
"01701","Framingham",19462,345,1.77,366,1.88,398,2.05,1047,5.38,1839,9.45,2449,12.58,2902,14.91,3256,16.73,3567,18.33,3811,19.58,4008,20.59,4175,21.45
"01702","Framingham",23821,591,2.48,621,2.61,669,2.81,1621,6.80,2784,11.69,3680,15.45,4346,18.24,4865,20.42,5323,22.35,5681,23.85,5969,25.06,6215,26.09
"01718","Village of Nagog Woods",321,5,1.56,5,1.56,5,1.56,14,4.36,25,7.79,33,10.28,40,12.46,44,13.71,49,15.26,52,16.20,55,17.13,57,17.76
"01719","Boxborough",3832,106,2.77,110,2.87,115,3.00,223,5.82,356,9.29,458,11.95,534,13.94,593,15.47,645,16.83,686,17.90,719,18.76,747,19.49
"01720","Acton",12504,215,1.72,228,1.82,248,1.98,644,5.15,1128,9.02,1501,12.00,1778,14.22,1994,15.95,2184,17.47,2333,18.66,2453,19.62,2555,20.43
"01721","Ashland",10579,157,1.48,167,1.58,183,1.73,510,4.82,909,8.59,1216,11.49,1445,13.66,1623,15.34,1780,16.83,1903,17.99,2001,18.91,2086,19.72
"01730","Bedford",7501,155,2.07,162,2.16,174,2.32,400,5.33,676,9.01,889,11.85,1047,13.96,1170,15.60,1279,17.05,1364,18.18,1433,19.10,1491,19.88
"01731","Hanscom AFB",501,16,3.19,16,3.19,17,3.39,31,6.19,48,9.58,61,12.18,71,14.17,79,15.77,85,16.97,91,18.16,95,18.96,99,19.76
"01740","Bolton",3381,50,1.48,53,1.57,58,1.72,155,4.58,273,8.07,365,10.80,432,12.78,485,14.34,532,15.73,569,16.83,598,17.69,623,18.43
"01741","Carlisle",2609,51,1.95,53,2.03,57,2.18,133,5.10,226,8.66,297,11.38,350,13.42,391,14.99,427,16.37,456,17.48,479,18.36,498,19.09
"01742","Concord",8979,130,1.45,138,1.54,152,1.69,420,4.68,748,8.33,1000,11.14,1188,13.23,1334,14.86,1463,16.29,1564,17.42,1645,18.32,1714,19.09
"01745","Fayville",123,3,2.44,3,2.44,3,2.44,7,5.69,11,8.94,15,12.20,17,13.82,19,15.45,21,17.07,22,17.89,23,18.70,24,19.51
"01746","Holliston",8487,176,2.07,184,2.17,196,2.31,442,5.21,742,8.74,973,11.46,1144,13.48,1278,15.06,1396,16.45,1489,17.54,1563,18.42,1626,19.16
"01747","Hopedale",3194,73,2.29,76,2.38,81,2.54,178,5.57,297,9.30,388,12.15,456,14.28,509,15.94,556,17.41,593,18.57,622,19.47,647,20.26
"01748","Hopkinton",9967,188,1.89,198,1.99,212,2.13,502,5.04,856,8.59,1129,11.33,1332,13.36,1490,14.95,1629,16.34,1739,17.45,1826,18.32,1901,19.07
"01749","Hudson",10910,163,1.49,175,1.60,194,1.78,577,5.29,1044,9.57,1404,12.87,1672,15.33,1880,17.23,2064,18.92,2208,20.24,2324,21.30,2423,22.21
"01752","Marlborough",23982,500,2.08,527,2.20,569,2.37,1411,5.88,2440,10.17,3232,13.48,3821,15.93,4280,17.85,4684,19.53,5001,20.85,5256,21.92,5473,22.82
"01754","Maynard",6332,74,1.17,82,1.30,93,1.47,318,5.02,592,9.35,804,12.70,961,15.18,1084,17.12,1192,18.83,1276,20.15,1344,21.23,1403,22.16
"01756","Mendon",3790,90,2.37,94,2.48,101,2.66,227,5.99,382,10.08,501,13.22,589,15.54,658,17.36,719,18.97,767,20.24,805,21.24,838,22.11
"01757","Milford",17448,436,2.50,454,2.60,484,2.77,1072,6.14,1791,10.26,2345,13.44,2756,15.80,3077,17.64,3360,19.26,3582,20.53,3760,21.55,3912,22.42
"01760","Natick",21150,364,1.72,385,1.82,419,1.98,1090,5.15,1910,9.03,2542,12.02,3011,14.24,3378,15.97,3700,17.49,3953,18.69,4156,19.65,4329,20.47
"01770","Sherborn",2218,22,0.99,24,1.08,28,1.26,94,4.24,175,7.89,237,10.69,283,12.76,319,14.38,351,15.83,376,16.95,396,17.85,413,18.62
"01772","Southborough",5374,102,1.90,107,1.99,115,2.14,269,5.01,458,8.52,603,11.22,711,13.23,795,14.79,870,16.19,928,17.27,975,18.14,1014,18.87
